

collapsed O
in O
March O
after O
a O
British I-MISC
report O
suggested O
humans O
could O
contract O
an O
illness O
similar O
to O
mad O
cow O
disease O
by O
eating O
contaminated O
beef O
. O

Germany I-LOC
imported O
47,600 O
sheep O
from O
Britain I-LOC
last O
year O
, O
nearly O
half O
of O
total O
imports O
. O

It O
brought O
in O
4,275 O
tonnes O
of O
British I-MISC
mutton O
, O
some O
10 O
percent O
of O
overall O
imports O
. O



Rare O
Hendrix I-PER
song O
draft O
sells O
for O
almost O
$ O
17,000 O
. O

LONDON I-LOC
1996-08-22 O

A O
rare O
early O
handwritten O
draft O
of O
a O
song O
by O
U.S. I-LOC
guitar O
legend O
Jimi I-PER
Hendrix I-PER
was O
sold O
for O
almost O
$ O
17,000 O
on O
Thursday O
at O
an O
auction O
of O
some O
of O
the O
late O
musician O
's O
favourite O
possessions O
. O

A O
Florida I-LOC
restaurant O
paid O
10,925 O
pounds O
( O
$ O
16,935 O
) O
for O
the O
draft O
of O
" O
Ai I-MISC
n't I-MISC
no I-MISC
telling I-MISC
" O
, O
which O
Hendrix I-PER
penned O
on O
a O
piece O
of O
London I-LOC
hotel O
stationery O
in O
late O
1966 O
. O

At O
the O
end O
of O
a O
January O
1967 O
concert O
in O
the O
English I-MISC
city O
of O
Nottingham I-LOC
he O
threw O
the O
sheet O
of O
paper O
into O
the O
audience O
, O
where O
it O
was O
retrieved O
by O
a O
fan O
. O

Buyers O
also O
snapped O
up O
16 O
other O
items O
that O
were O
put O
up O
for O
auction O
by O
Hendrix I-PER
's O
former O
girlfriend O
Kathy I-PER
Etchingham I-PER
, O
who O
lived O
with O
him O
from O
1966 O
to O
1969 O
. O

They O
included O
a O
black O
lacquer O
and O
mother O
of O
pearl O
inlaid O
box O
used O
by O
Hendrix I-PER
to O
store O
his O
drugs O
, O
which O
an O
anonymous O
Australian I-MISC
purchaser O
bought O
for O
5,060 O
pounds O
( O
$ O
7,845 O
) O
. O

The O
guitarist O
died O
of O
a O
drugs O
overdose O
in O
1970 O
aged O
27 O
. O



China I-LOC
says O
Taiwan I-LOC
spoils O
atmosphere O
for O
talks O
. O
